127.0.0.1 - - [19/Aug/2022:13:09:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:28 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:29 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:36 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:36 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:36 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:36 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:42 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:42 +0530] "GET /medicare/json/data/all/products?_=1660924122351 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:42 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:42 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:43 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:43 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:44 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:44 +0530] "GET /medicare/json/data/all/products?_=1660924124346 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:50 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:18:50 +0530] "GET /medicare/cart/show?result=added HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:26 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:27 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:29 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:35 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:35 +0530] "GET /medicare/ HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:35 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:35 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:40 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:41 +0530] "GET /medicare/json/data/all/products?_=1660924241241 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:41 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:42 +0530] "GET /medicare/ HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:42 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:42 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:43 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:44 +0530] "GET /medicare/json/data/all/products?_=1660924243923 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:49 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:20:49 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 8231
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:21:57 +0530] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:28 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:29 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:29 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:29 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:29 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:29 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:30 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:36 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:36 +0530] "GET /medicare/ HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:36 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:36 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:42 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:42 +0530] "GET /medicare/json/data/all/products?_=1660924422344 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:42 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:42 +0530] "GET /medicare/ HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:43 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:43 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:44 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:44 +0530] "GET /medicare/json/data/all/products?_=1660924424478 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:50 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:50 +0530] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 8231
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:55 +0530] "GET /medicare/cart/validate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:55 +0530] "GET /medicare/cart/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:55 +0530] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:58 +0530] "GET /medicare/cart/checkout?execution=e1s1&_eventId_addressSelection&shippingId=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:58 +0530] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 200 5958
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:23:59 +0530] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 200 5619
